"","X","trp_lc_","trp_st_","men_cnt","sem_u","sem_l","blck_nm","trp___1","lcl_tr_","long.x","lat.x","date_st","trap.dist","m_count","long.y","lat.y","pa","date.set","yr","qtr","spp"
"1",1,1,1,0,0,0,"Grumeti",1,"T1",34.459248,-2.004475,"2015/02/14",6942.59964518952,0,662296.694218894,-221627.923068688,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"4",4,2,2,0,0,0,"Grumeti",2,"T2",34.459426,-2.003254,"2015/02/14",7051.68936142506,0,662316.615842929,-221492.937889339,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"7",7,3,3,0,0,0,"Grumeti",3,"T3",34.469528,-1.971872,"2015/02/14",9931.87288279734,0,663443.489016606,-218024.100247117,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"10",10,4,4,0,0,0,"Grumeti",4,"T4",34.47027,-1.970912,"2015/02/14",10017.5020102174,0,663526.127475361,-217918.027926077,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"13",13,5,5,1.138,1.409,0.897,"Grumeti",5,"T5",34.46513,-2.041462,"2015/02/14",3027.74679304803,0,662947.337344631,-225718.07590337,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"16",16,6,6,0,0,0,"Grumeti",6,"T6",34.466335,-2.041376,"2015/02/14",3009.89608680081,0,663081.391854748,-225708.689253885,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"24",24,7,7,4.422,5.787,3.331,"Grumeti",7,"T7",34.465913,-2.071721,"2015/02/14",-266.163607369619,1,663031.366780705,-229063.826710323,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"30",30,8,8,16.353,25.949,10.174,"Grumeti",8,"T8",34.466941,-2.072319,"2015/02/14",-354.084949423717,2,663145.659557863,-229130.05213228,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"36",36,9,9,0,0,0,"Grumeti",9,"T9",34.439449,-2.009687,"2015/02/15",6799.8249659253,0,660093.685489095,-222202.246222173,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"38",38,10,10,0,0,0,"Grumeti",10,"T10",34.439985,-2.008832,"2015/02/15",6894.18471367171,0,660153.394650779,-222107.764437723,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"45",45,11,11,0.122,0.208,0.043,"Grumeti",11,"T11",34.464427,-2.123295,"2015/02/18",-2934.14798025737,4,662860.729657132,-234766.097175952,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"50",50,12,12,0.468,0.871,0.151,"Grumeti",12,"T12",34.46185,-2.122083,"2015/02/18",-3170.46596570341,10,662574.202480407,-234631.817853724,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"53",53,13,13,13.895,23.598,8.02,"Grumeti",13,"T13",34.458139,-2.108158,"2015/02/18",-3556.55483326175,8,662162.854319014,-233091.775768582,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"56",56,14,14,11.625,16.625,8.044,"Grumeti",14,"T14",34.459342,-2.106772,"2015/02/18",-3461.89118677654,18,662296.815213176,-232938.654495215,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"65",65,15,15,9.034,12.732,6.332,"Grumeti",15,"T15",34.463668,-2.090598,"2015/02/18",-2259.43751098914,10,662779.698030804,-231150.782950259,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"69",69,16,16,9.862,13.634,7.062,"Grumeti",16,"T16",34.464553,-2.087885,"2015/02/18",-1985.64170296483,5,662878.423127567,-230850.904333064,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"73",73,17,17,1.685,2.683,0.958,"Grumeti",17,"T17",34.46999,-2.053998,"2015/02/18",1560.87073491362,0,663486.699831172,-227104.649789983,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"74",74,18,18,5.798,7.183,4.648,"Grumeti",18,"T18",34.469508,-2.0547,"2015/02/18",1495.72761272514,1,663433.010436704,-227182.219209807,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"77",77,19,19,0.26,0.458,0.089,"Ikorongo south",19,"T1",34.593446,-1.956771,"2015/02/23",4773.06260192145,0,677230.89000307,-216367.000136177,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"80",80,20,20,0,0,0,"Ikorongo south",20,"T2",34.593166,-1.96034,"2015/02/23",4377.20022293648,0,677199.363833432,-216761.610132993,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"84",84,21,21,0,0,0,"Ikorongo south",21,"T3",34.602965,-1.962106,"2015/02/23",4273.8308110489,0,678289.352169913,-216957.925658815,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"87",87,22,22,0,0,0,"Ikorongo south",22,"T4",34.604742,-1.960431,"2015/02/23",4474.93605438357,0,678487.227992972,-216772.902224322,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"90",90,23,23,0.26,0.458,0.089,"Ikorongo south",23,"T5",34.615283,-1.962713,"2015/02/23",4321.60802309321,0,679659.716868829,-217026.363095016,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"93",93,24,24,0,0,0,"Ikorongo south",24,"T6",34.615706,-1.963919,"2015/02/23",4192.65871936802,0,679706.648667546,-217159.76260992,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"95",95,25,25,1.52,1.916,1.177,"Ikorongo south",25,"T7",34.624837,-1.980737,"2015/02/23",2424.49674850274,0,680720.699906911,-219020.41480536,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"99",99,26,26,0.26,0.458,0.089,"Ikorongo south",26,"T8",34.626135,-1.979777,"2015/02/23",2542.35738566596,0,680865.211584124,-218914.403393302,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"103",103,27,27,0.26,0.458,0.089,"Ikorongo south",27,"T9",34.645502,-1.978685,"2015/02/23",1677.31582453437,0,683019.997729287,-218795.778915852,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"104",104,28,28,0.26,0.458,0.089,"Ikorongo south",28,"T10",34.645917,-1.977417,"2015/02/23",1636.12455285265,0,683066.307681412,-218655.612842954,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"112",112,29,29,3.762,4.512,3.115,"Ikorongo south",29,"T11",34.662056,-1.991879,"2015/02/23",-214.75842521973,3,684860.256372528,-220256.582369818,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"117",117,30,30,0.26,0.458,0.089,"Ikorongo south",30,"T12",34.661252,-1.993869,"2015/02/23",-133.131197152697,1,684770.585286024,-220476.542526571,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"125",125,31,31,12.219,14.319,10.407,"Ikorongo south",31,"T13",34.673573,-2.002534,"2015/02/23",-1549.95228187516,5,686140.386357053,-221436.095890218,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"131",131,32,32,1.884,3.217,0.973,"Ikorongo south",32,"T14",34.676378,-2.003143,"2015/02/23",-1867.38199027895,5,686452.388313124,-221503.757344524,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"141",141,33,33,14.04,17.404,11.291,"Ikorongo south",33,"T15",34.685234,-2.01156,"2015/02/23",-2945.24519462075,42,687436.707754492,-222435.515104005,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"148",148,34,34,12.925,15.141,11.013,"Ikorongo south",34,"T16",34.68704,-2.013344,"2015/02/23",-3165.83907352041,25,687637.430656602,-222632.996635898,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"152",152,35,35,5.993,11.937,2.78,"Ikorongo south",35,"T17",34.69226,-2.025466,"2015/02/23",-3940.4278445879,22,688216.787852773,-223974.047531618,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"156",156,36,36,8.252,8.812,7.724,"Ikorongo south",36,"T18",34.689613,-2.027268,"2015/02/23",-3708.5782339517,22,687922.089201341,-224173.004909407,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"177",177,39,39,95.031,127.482,70.776,"Ikorongo north",39,"T16",34.743181,-1.967395,"2015/02/27",-3819.3358908125,80,693888.868892341,-217558.399159072,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"184",184,40,40,61.656,76.331,49.766,"Ikorongo north",40,"T15",34.74114,-1.965821,"2015/02/27",-3547.99028952378,19,693661.965820324,-217384.104973192,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"188",188,41,41,18.952,24.032,14.902,"Ikorongo north",41,"T14",34.734898,-1.952515,"2015/02/27",-1939.94372676524,14,692968.996299785,-215911.974584894,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"194",194,42,42,10.774,13.575,8.511,"Ikorongo north",42,"T13",34.734918,-1.949762,"2015/02/27",-1688.91571669835,25,692971.535493324,-215607.543953775,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"201",201,43,43,19.939,22.472,17.679,"Ikorongo north",43,"T12",34.735602,-1.938547,"2015/02/27",-635.068787797784,4,693048.91374089,-214367.442133795,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"211",211,44,44,5.84,7.144,4.745,"Ikorongo north",44,"T11",34.737584,-1.938274,"2015/02/27",-686.371506020901,1,693269.468050485,-214337.479312377,1,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"217",217,45,45,1.884,2.276,1.54,"Ikorongo north",45,"T10",34.73064,-1.918936,"2015/02/27",1586.8136940558,0,692499.032910905,-212198.254027915,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"220",220,46,46,1.759,2.94,0.932,"Ikorongo north",46,"T9",34.731121,-1.917348,"2015/02/27",1731.33783481282,0,692552.728525967,-212022.703989312,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"222",222,47,47,1.52,1.916,1.177,"Ikorongo north",47,"T8",34.739363,-1.905964,"2015/02/27",2588.87495312064,1,693471.044393372,-210764.76276059,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"224",224,48,48,0.26,0.458,0.089,"Ikorongo north",48,"T7",34.738483,-1.90569,"2015/02/27",2645.24719917409,0,693373.161527481,-210734.364315771,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"227",227,49,49,0.26,0.458,0.089,"Ikorongo north",49,"T6",34.741819,-1.891602,"2015/02/27",4095.01817149949,0,693745.912439552,-209176.851769402,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"230",230,50,50,0,0,0,"Ikorongo north",50,"T5",34.742428,-1.890679,"2015/02/27",4183.85570143289,0,693813.776139723,-209074.85204256,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"233",233,51,51,0.26,0.458,0.089,"Ikorongo north",51,"T4",34.752603,-1.880773,"2015/02/27",4056.33618251636,0,694947.018535164,-207980.554319727,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"238",238,52,52,0.587,0.837,0.372,"Ikorongo north",52,"T3",34.752546,-1.881813,"2015/02/27",4000.06055148098,0,694940.56075432,-208095.554484864,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"239",239,53,53,0,0,0,"Ikorongo north",53,"T2",34.694772,-1.882351,"2015/02/27",6988.53990426565,0,688512.224956219,-208148.694108987,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"244",244,54,54,0,0,0,"Ikorongo north",54,"T1",34.694825,-1.881731,"2015/02/27",7042.05467799122,0,688518.188583043,-208080.140340137,0,"Feb 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"247",247,55,55,25.476,39.352,16.372,"Ikoma",55,"T1",34.641577,-2.095548,"2015/03/06",-2759.00309433063,0,682570.157279185,-231717.708728004,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"250",250,56,56,50.238,54.426,46.367,"Ikoma",56,"T2",34.643653,-2.09676,"2015/03/06",-2496.02270347594,2,682800.965271247,-231851.970483198,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"251",251,57,57,416.073,473.276,365.769,"Ikoma",57,"T4",34.650778,-2.105407,"2015/03/06",-1277.75488774129,5,683592.59068427,-232808.969097503,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"257",257,58,58,191.842,235.071,156.529,"Ikoma",58,"T3",34.649826,-2.106246,"2015/03/06",-1302.04308526177,8,683486.585658255,-232901.631578049,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"261",261,59,59,57.648,65.573,50.665,"Ikoma",59,"T6",34.657842,-2.114691,"2015/03/06",-21.7847433279234,4,684377.344789951,-233836.40927612,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"262",262,60,60,57.106,76.801,42.397,"Ikoma",60,"T5",34.65614,-2.114746,"2015/03/06",-164.222589242755,3,684187.996942604,-233842.288950375,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"265",265,61,61,11.364,13.635,9.445,"Ikoma",61,"T7",34.666496,-2.124478,"2015/03/06",954.418168470797,0,685338.909050838,-234919.67214183,0,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"268",268,62,62,1.08,1.622,0.65,"Ikoma",62,"T8",34.666965,-2.125573,"2015/03/06",993.619107598639,2,685390.952874692,-235040.811939851,0,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"271",271,63,63,0.817,1.226,0.483,"Ikoma",63,"T9",34.681792,-2.143654,"2015/03/06",1601.05664224056,8,687038.219600732,-237041.986549866,0,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"275",275,64,64,1.621,1.855,1.406,"Ikoma",64,"T10",34.680677,-2.145895,"2015/03/06",1333.64044922895,0,686913.908537012,-237289.658707353,0,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"279",279,65,65,11.557,13.09,10.191,"Ikoma",65,"T12",34.712053,-2.173637,"2015/03/06",-1152.17029977551,2,690400.919871479,-240361.272481385,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"285",285,66,66,35.88,37.246,34.562,"Ikoma",66,"T11",34.710916,-2.176267,"2015/03/06",-1366.06333899107,0,690274.104337392,-240651.957513461,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"294",294,67,67,14.875,40.539,5.067,"Ikoma",67,"T13",34.71903,-2.168488,"2015/03/06",-949.096171076744,40,691177.726998599,-239792.769538084,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"303",303,68,68,86.961,109.401,69.082,"Ikoma",68,"T14",34.719749,-2.171478,"2015/03/06",-1283.59209046876,9,691257.337048112,-240123.499486697,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"312",312,69,69,151.379,162.687,140.852,"Ikoma",69,"T15",34.725121,-2.188528,"2015/03/06",-3248.74936332577,10,691852.790747483,-242009.602911209,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"318",318,70,70,37.974,47.019,30.633,"Ikoma",70,"T16",34.730098,-2.190417,"2015/03/06",-3665.40530557734,19,692406.216552207,-242219.13053481,1,"Mar 2015","2015","Q1 2015","paste(italic(""G.pallidipes""))"
"2",2,1,73,0,0,0,"Grumeti",73,"T1",34.459248,-2.004475,"2015/06/29",6942.59964518952,0,662296.694218894,-221627.923068688,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"5",5,2,74,0,0,0,"Grumeti",74,"T2",34.459426,-2.003254,"2015/06/29",7051.68936142506,0,662316.615842929,-221492.937889339,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"8",8,3,75,0,0,0,"Grumeti",75,"T3",34.469528,-1.971872,"2015/06/29",9931.87288279734,0,663443.489016606,-218024.100247117,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"12",12,4,76,0,0,0,"Grumeti",76,"T4",34.47027,-1.970912,"2015/06/29",10017.5020102174,0,663526.127475361,-217918.027926077,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"15",15,5,77,0.26,0.458,0.089,"Grumeti",77,"T5",34.46513,-2.041462,"2015/06/29",3027.74679304803,0,662947.337344631,-225718.07590337,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"17",17,6,78,0.26,0.458,0.089,"Grumeti",78,"T6",34.466335,-2.041376,"2015/06/29",3009.89608680081,0,663081.391854748,-225708.689253885,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"22",22,7,79,3,4.152,2.106,"Grumeti",79,"T7",34.465913,-2.071721,"2015/06/29",-266.163607369619,1,663031.366780705,-229063.826710323,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"32",32,8,80,48.49,53.608,43.851,"Grumeti",80,"T8",34.466941,-2.072319,"2015/06/29",-354.084949423717,2,663145.659557863,-229130.05213228,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"35",35,9,81,0,0,0,"Grumeti",81,"T9",34.439449,-2.009687,"2015/06/29",6799.8249659253,0,660093.685489095,-222202.246222173,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"39",39,10,82,0,0,0,"Grumeti",82,"T10",34.439985,-2.008832,"2015/06/29",6894.18471367171,0,660153.394650779,-222107.764437723,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"41",41,11,83,0,0,0,"Grumeti",83,"T11",34.464427,-2.123295,"2015/06/29",-2934.14798025737,4,662860.729657132,-234766.097175952,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"49",49,12,84,1.289,1.494,1.102,"Grumeti",84,"T12",34.46185,-2.122083,"2015/06/29",-3170.46596570341,10,662574.202480407,-234631.817853724,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"51",51,13,85,13.486,15.355,11.831,"Grumeti",85,"T13",34.458139,-2.108158,"2015/06/29",-3556.55483326175,8,662162.854319014,-233091.775768582,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"58",58,14,86,7.887,9.236,6.717,"Grumeti",86,"T14",34.459342,-2.106772,"2015/06/29",-3461.89118677654,18,662296.815213176,-232938.654495215,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"64",64,15,87,22.233,24.298,20.336,"Grumeti",87,"T15",34.463668,-2.090598,"2015/06/29",-2259.43751098914,10,662779.698030804,-231150.782950259,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"67",67,16,88,37.305,40.674,34.208,"Grumeti",88,"T16",34.464553,-2.087885,"2015/06/29",-1985.64170296483,5,662878.423127567,-230850.904333064,1,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"72",72,17,89,6.958,8.089,5.968,"Grumeti",89,"T17",34.46999,-2.053998,"2015/06/29",1560.87073491362,0,663486.699831172,-227104.649789983,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"76",76,18,90,3.579,3.987,3.204,"Grumeti",90,"T18",34.469508,-2.0547,"2015/06/29",1495.72761272514,1,663433.010436704,-227182.219209807,0,"Jun 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"78",78,19,91,0,0,0,"Ikorongo south",91,"T1",34.593446,-1.956771,"2015/07/06",4773.06260192145,0,677230.89000307,-216367.000136177,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"82",82,20,92,0,0,0,"Ikorongo south",92,"T2",34.593166,-1.96034,"2015/07/06",4377.20022293648,0,677199.363833432,-216761.610132993,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"85",85,21,93,0,0,0,"Ikorongo south",93,"T3",34.602965,-1.962106,"2015/07/06",4273.8308110489,0,678289.352169913,-216957.925658815,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"88",88,22,94,0,0,0,"Ikorongo south",94,"T4",34.604742,-1.960431,"2015/07/06",4474.93605438357,0,678487.227992972,-216772.902224322,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"91",91,23,95,0,0,0,"Ikorongo south",95,"T5",34.615283,-1.962713,"2015/07/06",4321.60802309321,0,679659.716868829,-217026.363095016,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"92",92,24,96,0,0,0,"Ikorongo south",96,"T6",34.615706,-1.963919,"2015/07/06",4192.65871936802,0,679706.648667546,-217159.76260992,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"96",96,25,97,0,0,0,"Ikorongo south",97,"T7",34.624837,-1.980737,"2015/07/06",2424.49674850274,0,680720.699906911,-219020.41480536,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"98",98,26,98,0,0,0,"Ikorongo south",98,"T8",34.626135,-1.979777,"2015/07/06",2542.35738566596,0,680865.211584124,-218914.403393302,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"101",101,27,99,1.289,1.991,0.753,"Ikorongo south",99,"T9",34.645502,-1.978685,"2015/07/06",1677.31582453437,0,683019.997729287,-218795.778915852,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"105",105,28,100,0,0,0,"Ikorongo south",100,"T10",34.645917,-1.977417,"2015/07/06",1636.12455285265,0,683066.307681412,-218655.612842954,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"107",107,29,101,0.26,0.458,0.089,"Ikorongo south",101,"T11",34.662056,-1.991879,"2015/07/06",-214.75842521973,3,684860.256372528,-220256.582369818,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"120",120,30,102,0,0,0,"Ikorongo south",102,"T12",34.661252,-1.993869,"2015/07/06",-133.131197152697,1,684770.585286024,-220476.542526571,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"130",130,31,103,2.915,3.854,2.158,"Ikorongo south",103,"T13",34.673573,-2.002534,"2015/07/06",-1549.95228187516,5,686140.386357053,-221436.095890218,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"136",136,32,104,0.26,0.458,0.089,"Ikorongo south",104,"T14",34.676378,-2.003143,"2015/07/06",-1867.38199027895,5,686452.388313124,-221503.757344524,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"142",142,33,105,21.699,30.655,15.277,"Ikorongo south",105,"T15",34.685234,-2.01156,"2015/07/06",-2945.24519462075,42,687436.707754492,-222435.515104005,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"144",144,34,106,3.82,5.91,2.363,"Ikorongo south",106,"T16",34.68704,-2.013344,"2015/07/06",-3165.83907352041,25,687637.430656602,-222632.996635898,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"154",154,35,107,3.579,4.504,2.809,"Ikorongo south",107,"T17",34.69226,-2.025466,"2015/07/06",-3940.4278445879,22,688216.787852773,-223974.047531618,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"160",160,36,108,9.492,11.068,8.122,"Ikorongo south",108,"T18",34.689613,-2.027268,"2015/07/06",-3708.5782339517,22,687922.089201341,-224173.004909407,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"178",178,39,111,5.604,11.156,2.588,"Ikorongo north",111,"T16",34.743181,-1.967395,"2015/07/13",-3819.3358908125,80,693888.868892341,-217558.399159072,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"182",182,40,112,26.409,35.866,19.378,"Ikorongo north",112,"T15",34.74114,-1.965821,"2015/07/13",-3547.99028952378,19,693661.965820324,-217384.104973192,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"186",186,41,113,8.865,16.95,4.421,"Ikorongo north",113,"T14",34.734898,-1.952515,"2015/07/13",-1939.94372676524,14,692968.996299785,-215911.974584894,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"195",195,42,114,9.285,12.868,6.628,"Ikorongo north",114,"T13",34.734918,-1.949762,"2015/07/13",-1688.91571669835,25,692971.535493324,-215607.543953775,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"204",204,43,115,4.518,5.701,3.544,"Ikorongo north",115,"T12",34.735602,-1.938547,"2015/07/13",-635.068787797784,4,693048.91374089,-214367.442133795,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"212",212,44,116,1.08,1.622,0.65,"Ikorongo north",116,"T11",34.737584,-1.938274,"2015/07/13",-686.371506020901,1,693269.468050485,-214337.479312377,1,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"216",216,45,117,0.26,0.458,0.089,"Ikorongo north",117,"T10",34.73064,-1.918936,"2015/07/13",1586.8136940558,0,692499.032910905,-212198.254027915,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"219",219,46,118,1.52,2.375,0.881,"Ikorongo north",118,"T9",34.731121,-1.917348,"2015/07/13",1731.33783481282,0,692552.728525967,-212022.703989312,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"223",223,47,119,0,0,0,"Ikorongo north",119,"T8",34.739363,-1.905964,"2015/07/13",2588.87495312064,1,693471.044393372,-210764.76276059,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"226",226,48,120,0,0,0,"Ikorongo north",120,"T7",34.738483,-1.90569,"2015/07/13",2645.24719917409,0,693373.161527481,-210734.364315771,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"228",228,49,121,0,0,0,"Ikorongo north",121,"T6",34.741819,-1.891602,"2015/07/13",4095.01817149949,0,693745.912439552,-209176.851769402,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"232",232,50,122,0,0,0,"Ikorongo north",122,"T5",34.742428,-1.890679,"2015/07/13",4183.85570143289,0,693813.776139723,-209074.85204256,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"234",234,51,123,0,0,0,"Ikorongo north",123,"T4",34.752603,-1.880773,"2015/07/13",4056.33618251636,0,694947.018535164,-207980.554319727,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"237",237,52,124,0,0,0,"Ikorongo north",124,"T3",34.752546,-1.881813,"2015/07/13",4000.06055148098,0,694940.56075432,-208095.554484864,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"241",241,53,125,0,0,0,"Ikorongo north",125,"T2",34.694772,-1.882351,"2015/07/13",6988.53990426565,0,688512.224956219,-208148.694108987,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
"243",243,54,126,0,0,0,"Ikorongo north",126,"T1",34.694825,-1.881731,"2015/07/13",7042.05467799122,0,688518.188583043,-208080.140340137,0,"Jul 2015","2015","Q2 2015","paste(italic(""G.pallidipes""))"
